activity_a,activity_b,capacity_a,capacity_b,count,weighted
Latin: Certamen  (Lister),Humanitarian Aid to No. Korea,<bound method EighthActivity.capacity of <EighthActivity: Latin: Certamen  (Lister)>>,<bound method EighthActivity.capacity of <EighthActivity: Humanitarian Aid to No. Korea>>,8,0.133333333333333
Band,Latin Exam,<bound method EighthActivity.capacity of <EighthActivity: Band>>,<bound method EighthActivity.capacity of <EighthActivity: Latin Exam>>,8,0.106666666666667
Young Democrats,Environmental Resource Club,<bound method EighthActivity.capacity of <EighthActivity: Young Democrats>>,<bound method EighthActivity.capacity of <EighthActivity: Environmental Resource Club>>,8,0.137931034482759
TWIST,TJ Minds Matter,<bound method EighthActivity.capacity of <EighthActivity: TWIST>>,<bound method EighthActivity.capacity of <EighthActivity: TJ Minds Matter>>,8,0.111111111111111
Computer Team (Senior),Band,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Senior)>>,<bound method EighthActivity.capacity of <EighthActivity: Band>>,8,0.0571428571428571
Humanitarian Aid to No. Korea,Mind Body Medicine Society,<bound method EighthActivity.capacity of <EighthActivity: Humanitarian Aid to No. Korea>>,<bound method EighthActivity.capacity of <EighthActivity: Mind Body Medicine Society>>,8,0.142857142857143
IBET Project Work (James),Humanitarian Aid to No. Korea,<bound method EighthActivity.capacity of <EighthActivity: IBET Project Work (James)>>,<bound method EighthActivity.capacity of <EighthActivity: Humanitarian Aid to No. Korea>>,8,0.142857142857143
IBET & Honors Chem help,Linguistics Club,<bound method EighthActivity.capacity of <EighthActivity: IBET & Honors Chem help>>,<bound method EighthActivity.capacity of <EighthActivity: Linguistics Club>>,8,0.148148148148148
IBET & Honors Chem help,Research Statistics 1 (Carey),<bound method EighthActivity.capacity of <EighthActivity: IBET & Honors Chem help>>,<bound method EighthActivity.capacity of <EighthActivity: Research Statistics 1 (Carey)>>,8,0.142857142857143
IBET Larson Work Time,Threshold,<bound method EighthActivity.capacity of <EighthActivity: IBET Larson Work Time>>,<bound method EighthActivity.capacity of <EighthActivity: Threshold>>,8,0.285714285714286
Swing Dance Club,IBET Larson Work Time,<bound method EighthActivity.capacity of <EighthActivity: Swing Dance Club>>,<bound method EighthActivity.capacity of <EighthActivity: IBET Larson Work Time>>,8,0.285714285714286
Biology Retakes,Band,<bound method EighthActivity.capacity of <EighthActivity: Biology Retakes>>,<bound method EighthActivity.capacity of <EighthActivity: Band>>,8,0.0776699029126214
IBET Larson Work Time,Product Design Club,<bound method EighthActivity.capacity of <EighthActivity: IBET Larson Work Time>>,<bound method EighthActivity.capacity of <EighthActivity: Product Design Club>>,8,0.285714285714286
IBET Larson Work Time,Keyettes,<bound method EighthActivity.capacity of <EighthActivity: IBET Larson Work Time>>,<bound method EighthActivity.capacity of <EighthActivity: Keyettes>>,8,0.285714285714286
Send-a-Smile,Product Design Club,<bound method EighthActivity.capacity of <EighthActivity: Send-a-Smile>>,<bound method EighthActivity.capacity of <EighthActivity: Product Design Club>>,8,0.142857142857143
PC (re)Builders,IBET Larson Work Time,<bound method EighthActivity.capacity of <EighthActivity: PC (re)Builders>>,<bound method EighthActivity.capacity of <EighthActivity: IBET Larson Work Time>>,8,0.266666666666667
Young Democrats,IBET Larson Work Time,<bound method EighthActivity.capacity of <EighthActivity: Young Democrats>>,<bound method EighthActivity.capacity of <EighthActivity: IBET Larson Work Time>>,8,0.266666666666667
Lab 8: Prototyping Lab,Band,<bound method EighthActivity.capacity of <EighthActivity: Lab 8: Prototyping Lab>>,<bound method EighthActivity.capacity of <EighthActivity: Band>>,8,0.08
Lab 15 - CS Foundations,IBET Larson Work Time,<bound method EighthActivity.capacity of <EighthActivity: Lab 15 - CS Foundations>>,<bound method EighthActivity.capacity of <EighthActivity: IBET Larson Work Time>>,8,0.266666666666667
Lab 211 - Open Computer Lab,IBET Performance Essays (Boswell),<bound method EighthActivity.capacity of <EighthActivity: Lab 211 - Open Computer Lab>>,<bound method EighthActivity.capacity of <EighthActivity: IBET Performance Essays (Boswell)>>,8,0.142857142857143
GSA,American Sign Language Club,<bound method EighthActivity.capacity of <EighthActivity: GSA>>,<bound method EighthActivity.capacity of <EighthActivity: American Sign Language Club>>,8,0.1
Spanish Honor Society,IBET Larson Work Time,<bound method EighthActivity.capacity of <EighthActivity: Spanish Honor Society>>,<bound method EighthActivity.capacity of <EighthActivity: IBET Larson Work Time>>,8,0.285714285714286
WILD (Women in Leadership and Development),American Sign Language Club,<bound method EighthActivity.capacity of <EighthActivity: WILD (Women in Leadership and Development)>>,<bound method EighthActivity.capacity of <EighthActivity: American Sign Language Club>>,8,0.102564102564103
WILD (Women in Leadership and Development),IBET Larson Work Time,<bound method EighthActivity.capacity of <EighthActivity: WILD (Women in Leadership and Development)>>,<bound method EighthActivity.capacity of <EighthActivity: IBET Larson Work Time>>,8,0.285714285714286
IBET Larson Work Time,Physics Lab work only (Forbes),<bound method EighthActivity.capacity of <EighthActivity: IBET Larson Work Time>>,<bound method EighthActivity.capacity of <EighthActivity: Physics Lab work only (Forbes)>>,8,0.285714285714286
Lab 203: Burnett,Band,<bound method EighthActivity.capacity of <EighthActivity: Lab 203: Burnett>>,<bound method EighthActivity.capacity of <EighthActivity: Band>>,8,0.0842105263157895
IBET Larson Work Time,Math 3 Help,<bound method EighthActivity.capacity of <EighthActivity: IBET Larson Work Time>>,<bound method EighthActivity.capacity of <EighthActivity: Math 3 Help>>,8,0.285714285714286
MIT Launch,Band,<bound method EighthActivity.capacity of <EighthActivity: MIT Launch>>,<bound method EighthActivity.capacity of <EighthActivity: Band>>,8,0.0720720720720721
TSA - Technology Student Assn (R),IBET Larson Work Time,<bound method EighthActivity.capacity of <EighthActivity: TSA - Technology Student Assn (R)>>,<bound method EighthActivity.capacity of <EighthActivity: IBET Larson Work Time>>,8,0.228571428571429
IBET Project Work (James),Multivar/AMT/DiffieQ tutoring DO NOT USE,<bound method EighthActivity.capacity of <EighthActivity: IBET Project Work (James)>>,<bound method EighthActivity.capacity of <EighthActivity: Multivar/AMT/DiffieQ tutoring DO NOT USE>>,8,0.121212121212121
Threshold,Product Design Club,<bound method EighthActivity.capacity of <EighthActivity: Threshold>>,<bound method EighthActivity.capacity of <EighthActivity: Product Design Club>>,8,0.142857142857143
Teknos,Band,<bound method EighthActivity.capacity of <EighthActivity: Teknos>>,<bound method EighthActivity.capacity of <EighthActivity: Band>>,8,0.0842105263157895
IBET Larson Work Time,Magician's Alliance,<bound method EighthActivity.capacity of <EighthActivity: IBET Larson Work Time>>,<bound method EighthActivity.capacity of <EighthActivity: Magician's Alliance>>,8,0.32
Mock Trial Club,IBET Performance Essays (Boswell),<bound method EighthActivity.capacity of <EighthActivity: Mock Trial Club>>,<bound method EighthActivity.capacity of <EighthActivity: IBET Performance Essays (Boswell)>>,8,0.142857142857143
League of Legends,IBET Performance Essays (Boswell),<bound method EighthActivity.capacity of <EighthActivity: League of Legends>>,<bound method EighthActivity.capacity of <EighthActivity: IBET Performance Essays (Boswell)>>,8,0.137931034482759
BSU/BEYA-(Black Student Union),Band,<bound method EighthActivity.capacity of <EighthActivity: BSU/BEYA-(Black Student Union)>>,<bound method EighthActivity.capacity of <EighthActivity: Band>>,8,0.0776699029126214
Cancer Research Society,Band,<bound method EighthActivity.capacity of <EighthActivity: Cancer Research Society>>,<bound method EighthActivity.capacity of <EighthActivity: Band>>,8,0.0761904761904762
Computer Team (Intermediate),American Sign Language Club,<bound method EighthActivity.capacity of <EighthActivity: Computer Team (Intermediate)>>,<bound method EighthActivity.capacity of <EighthActivity: American Sign Language Club>>,8,0.08
IBET Larson Work Time,Neuroscience Society,<bound method EighthActivity.capacity of <EighthActivity: IBET Larson Work Time>>,<bound method EighthActivity.capacity of <EighthActivity: Neuroscience Society>>,8,0.16
WISE (Women in Sci. & Eng),Product Design Club,<bound method EighthActivity.capacity of <EighthActivity: WISE (Women in Sci. & Eng)>>,<bound method EighthActivity.capacity of <EighthActivity: Product Design Club>>,8,0.0754716981132075
IBET Project Work (James),Student Diversity Initiative (SDI),<bound method EighthActivity.capacity of <EighthActivity: IBET Project Work (James)>>,<bound method EighthActivity.capacity of <EighthActivity: Student Diversity Initiative (SDI)>>,8,0.142857142857143
Art Honor Society (R),Amnesty International,<bound method EighthActivity.capacity of <EighthActivity: Art Honor Society (R)>>,<bound method EighthActivity.capacity of <EighthActivity: Amnesty International>>,8,0.137931034482759
Spanish Tertulia Mateo,IBET Larson Work Time,<bound method EighthActivity.capacity of <EighthActivity: Spanish Tertulia Mateo>>,<bound method EighthActivity.capacity of <EighthActivity: IBET Larson Work Time>>,8,0.333333333333333
Lab 18,IBET Performance Essays (Boswell),<bound method EighthActivity.capacity of <EighthActivity: Lab 18>>,<bound method EighthActivity.capacity of <EighthActivity: IBET Performance Essays (Boswell)>>,8,0.137931034482759
Codi's Hats,American Sign Language Club,<bound method EighthActivity.capacity of <EighthActivity: Codi's Hats>>,<bound method EighthActivity.capacity of <EighthActivity: American Sign Language Club>>,8,0.106666666666667
Teknos,Product Design Club,<bound method EighthActivity.capacity of <EighthActivity: Teknos>>,<bound method EighthActivity.capacity of <EighthActivity: Product Design Club>>,8,0.166666666666667
Digital Arts Studio,American Sign Language Club,<bound method EighthActivity.capacity of <EighthActivity: Digital Arts Studio>>,<bound method EighthActivity.capacity of <EighthActivity: American Sign Language Club>>,8,0.102564102564103
Amnesty International,Urban Dance Movement,<bound method EighthActivity.capacity of <EighthActivity: Amnesty International>>,<bound method EighthActivity.capacity of <EighthActivity: Urban Dance Movement>>,8,0.123076923076923
Investigations in Epidemiology,IBET Larson Work Time,<bound method EighthActivity.capacity of <EighthActivity: Investigations in Epidemiology>>,<bound method EighthActivity.capacity of <EighthActivity: IBET Larson Work Time>>,8,0.285714285714286
Scrabble,Band,<bound method EighthActivity.capacity of <EighthActivity: Scrabble>>,<bound method EighthActivity.capacity of <EighthActivity: Band>>,8,0.0776699029126214
Band,UNICEF,<bound method EighthActivity.capacity of <EighthActivity: Band>>,<bound method EighthActivity.capacity of <EighthActivity: UNICEF>>,8,0.0776699029126214
Catholic Student Assoc. (CSA),Band,<bound method EighthActivity.capacity of <EighthActivity: Catholic Student Assoc. (CSA)>>,<bound method EighthActivity.capacity of <EighthActivity: Band>>,8,0.0776699029126214
Cultivators of the Earth,Band,<bound method EighthActivity.capacity of <EighthActivity: Cultivators of the Earth>>,<bound method EighthActivity.capacity of <EighthActivity: Band>>,8,0.0888888888888889
Lab 15 - CS Foundations,American Sign Language Club,<bound method EighthActivity.capacity of <EighthActivity: Lab 15 - CS Foundations>>,<bound method EighthActivity.capacity of <EighthActivity: American Sign Language Club>>,8,0.1
IBET Project Work (James),WISE (Women in Sci. & Eng),<bound method EighthActivity.capacity of <EighthActivity: IBET Project Work (James)>>,<bound method EighthActivity.capacity of <EighthActivity: WISE (Women in Sci. & Eng)>>,8,0.0754716981132075
Quizbowl (It's Academic),UNICEF,<bound method EighthActivity.capacity of <EighthActivity: Quizbowl (It's Academic)>>,<bound method EighthActivity.capacity of <EighthActivity: UNICEF>>,8,0.105263157894737
Aerospace Initiative (formerly Rocketry Club),Math 3/4 (Hill),<bound method EighthActivity.capacity of <EighthActivity: Aerospace Initiative (formerly Rocketry Club)>>,<bound method EighthActivity.capacity of <EighthActivity: Math 3/4 (Hill)>>,8,0.126984126984127
Physics tutoring / makeup Smith,IBET Project Work (James),<bound method EighthActivity.capacity of <EighthActivity: Physics tutoring / makeup Smith>>,<bound method EighthActivity.capacity of <EighthActivity: IBET Project Work (James)>>,8,0.142857142857143
League of Legends,IBET Project Work (James),<bound method EighthActivity.capacity of <EighthActivity: League of Legends>>,<bound method EighthActivity.capacity of <EighthActivity: IBET Project Work (James)>>,8,0.137931034482759
IBET Project Work (James),Keyettes,<bound method EighthActivity.capacity of <EighthActivity: IBET Project Work (James)>>,<bound method EighthActivity.capacity of <EighthActivity: Keyettes>>,8,0.142857142857143
IBET Project Work (James),Teenage Republicans,<bound method EighthActivity.capacity of <EighthActivity: IBET Project Work (James)>>,<bound method EighthActivity.capacity of <EighthActivity: Teenage Republicans>>,8,0.142857142857143
Math Help (Schmitt),Band Open Practice,<bound method EighthActivity.capacity of <EighthActivity: Math Help (Schmitt)>>,<bound method EighthActivity.capacity of <EighthActivity: Band Open Practice>>,8,0.08
IBET Project Work (James),Japanese Culture Club,<bound method EighthActivity.capacity of <EighthActivity: IBET Project Work (James)>>,<bound method EighthActivity.capacity of <EighthActivity: Japanese Culture Club>>,8,0.142857142857143
IBET Larson Work Time,American Sign Language Club,<bound method EighthActivity.capacity of <EighthActivity: IBET Larson Work Time>>,<bound method EighthActivity.capacity of <EighthActivity: American Sign Language Club>>,8,0.16
IBET Project Work (James),Latin:,<bound method EighthActivity.capacity of <EighthActivity: IBET Project Work (James)>>,<bound method EighthActivity.capacity of <EighthActivity: Latin:>>,8,0.142857142857143
Math 3 and Math 4 tutoring,Band,<bound method EighthActivity.capacity of <EighthActivity: Math 3 and Math 4 tutoring>>,<bound method EighthActivity.capacity of <EighthActivity: Band>>,8,0.0761904761904762
Chemistry Team,Band,<bound method EighthActivity.capacity of <EighthActivity: Chemistry Team>>,<bound method EighthActivity.capacity of <EighthActivity: Band>>,8,0.0776699029126214
Aerospace Initiative (formerly Rocketry Club),Innovations in Concepts of Engineering (ICE),<bound method EighthActivity.capacity of <EighthActivity: Aerospace Initiative (formerly Rocketry Club)>>,<bound method EighthActivity.capacity of <EighthActivity: Innovations in Concepts of Engineering (ICE)>>,8,0.123076923076923
Band,Keyettes,<bound method EighthActivity.capacity of <EighthActivity: Band>>,<bound method EighthActivity.capacity of <EighthActivity: Keyettes>>,8,0.0776699029126214
IBET Project Work (James),Latin Honor Society,<bound method EighthActivity.capacity of <EighthActivity: IBET Project Work (James)>>,<bound method EighthActivity.capacity of <EighthActivity: Latin Honor Society>>,8,0.142857142857143
IBET Project Work (James),Mind Body Medicine Society,<bound method EighthActivity.capacity of <EighthActivity: IBET Project Work (James)>>,<bound method EighthActivity.capacity of <EighthActivity: Mind Body Medicine Society>>,8,0.142857142857143
IBET Project Work (James),Spanish Tertulia Mateo,<bound method EighthActivity.capacity of <EighthActivity: IBET Project Work (James)>>,<bound method EighthActivity.capacity of <EighthActivity: Spanish Tertulia Mateo>>,8,0.153846153846154
Teknos,Amnesty International,<bound method EighthActivity.capacity of <EighthActivity: Teknos>>,<bound method EighthActivity.capacity of <EighthActivity: Amnesty International>>,8,0.16
Band,Environmental Impact Club,<bound method EighthActivity.capacity of <EighthActivity: Band>>,<bound method EighthActivity.capacity of <EighthActivity: Environmental Impact Club>>,8,0.0695652173913043
Band,Fellowship of Christians,<bound method EighthActivity.capacity of <EighthActivity: Band>>,<bound method EighthActivity.capacity of <EighthActivity: Fellowship of Christians>>,8,0.0776699029126214
Little Sunshine,IBET Project Work (James),<bound method EighthActivity.capacity of <EighthActivity: Little Sunshine>>,<bound method EighthActivity.capacity of <EighthActivity: IBET Project Work (James)>>,8,0.142857142857143
Band,Swing Dance Club,<bound method EighthActivity.capacity of <EighthActivity: Band>>,<bound method EighthActivity.capacity of <EighthActivity: Swing Dance Club>>,8,0.0776699029126214
Science Fiction & Fantasy Writers,Quizbowl (It's Academic),<bound method EighthActivity.capacity of <EighthActivity: Science Fiction & Fantasy Writers>>,<bound method EighthActivity.capacity of <EighthActivity: Quizbowl (It's Academic)>>,8,0.105263157894737
MIT Launch,IBET Project Work (James),<bound method EighthActivity.capacity of <EighthActivity: MIT Launch>>,<bound method EighthActivity.capacity of <EighthActivity: IBET Project Work (James)>>,8,0.125
Amnesty International,Environmental Impact Club,<bound method EighthActivity.capacity of <EighthActivity: Amnesty International>>,<bound method EighthActivity.capacity of <EighthActivity: Environmental Impact Club>>,8,0.114285714285714
IBET Project Work (James),Band,<bound method EighthActivity.capacity of <EighthActivity: IBET Project Work (James)>>,<bound method EighthActivity.capacity of <EighthActivity: Band>>,8,0.0776699029126214
IBET Project Work (James),Otaku Club,<bound method EighthActivity.capacity of <EighthActivity: IBET Project Work (James)>>,<bound method EighthActivity.capacity of <EighthActivity: Otaku Club>>,8,0.142857142857143
Mobile Apps Club,Spanish Tertulia Mateo,<bound method EighthActivity.capacity of <EighthActivity: Mobile Apps Club>>,<bound method EighthActivity.capacity of <EighthActivity: Spanish Tertulia Mateo>>,8,0.133333333333333
Mobile Apps Club,Spanish Tertulia Gendive,<bound method EighthActivity.capacity of <EighthActivity: Mobile Apps Club>>,<bound method EighthActivity.capacity of <EighthActivity: Spanish Tertulia Gendive>>,8,0.125
Mobile Apps Club,VSA (Vietnamese Student Assn.),<bound method EighthActivity.capacity of <EighthActivity: Mobile Apps Club>>,<bound method EighthActivity.capacity of <EighthActivity: VSA (Vietnamese Student Assn.)>>,8,0.121212121212121
Mobile Apps Club,Swing Dance Club,<bound method EighthActivity.capacity of <EighthActivity: Mobile Apps Club>>,<bound method EighthActivity.capacity of <EighthActivity: Swing Dance Club>>,8,0.125
MIT Launch,Writing Conference (Kochman),<bound method EighthActivity.capacity of <EighthActivity: MIT Launch>>,<bound method EighthActivity.capacity of <EighthActivity: Writing Conference (Kochman)>>,8,0.125
Mobile Apps Club,Sports Statistics,<bound method EighthActivity.capacity of <EighthActivity: Mobile Apps Club>>,<bound method EighthActivity.capacity of <EighthActivity: Sports Statistics>>,8,0.125
Environmental Science Club,Band,<bound method EighthActivity.capacity of <EighthActivity: Environmental Science Club>>,<bound method EighthActivity.capacity of <EighthActivity: Band>>,8,0.0776699029126214
Research Statistics 1 (Carey),Band,<bound method EighthActivity.capacity of <EighthActivity: Research Statistics 1 (Carey)>>,<bound method EighthActivity.capacity of <EighthActivity: Band>>,8,0.0761904761904762
MIT Launch,Spanish Tertulia Gendive,<bound method EighthActivity.capacity of <EighthActivity: MIT Launch>>,<bound method EighthActivity.capacity of <EighthActivity: Spanish Tertulia Gendive>>,8,0.125
MIT Launch,WISE (Women in Sci. & Eng),<bound method EighthActivity.capacity of <EighthActivity: MIT Launch>>,<bound method EighthActivity.capacity of <EighthActivity: WISE (Women in Sci. & Eng)>>,8,0.0701754385964912
MIT Launch,World History SOL Review (Yi),<bound method EighthActivity.capacity of <EighthActivity: MIT Launch>>,<bound method EighthActivity.capacity of <EighthActivity: World History SOL Review (Yi)>>,8,0.125
Quizbowl (It's Academic),SGA,<bound method EighthActivity.capacity of <EighthActivity: Quizbowl (It's Academic)>>,<bound method EighthActivity.capacity of <EighthActivity: SGA>>,8,0.10958904109589
